Gemeinde;AGS;Mietenstufe
Schwenningen;9773164;1
Schwifting;9181140;3
Schwindegg;9183144;1
Seefeld;9188132;6
Seeg;9777170;1
Seehausen a.Staffelsee;9180132;4
Seeon-Seebruck;9189143;2
Seeshaupt;9190152;3
Segnitz;9675166;1
Seinsheim;9675167;1
Selb;9479152;1
Selbitz;9475171;1
Senden;9775152;4
Sengenthal;9373159;1
Sennfeld;9678178;1
Seßlach;9473165;1
Seubersdorf i.d.OPf.;9373160;1
Seukendorf;9573126;3
Seybothenreuth;9472188;1
Siegenburg;9273172;1
Siegsdorf;9189145;2
Sielenbach;9771165;2
Sigmarszell;9776126;2
Simbach a.Inn;9277145;1
Simbach;9279135;1
Simmelsdorf;9574158;2
Simmershofen;9575163;1
Sindelsdorf;9190153;3
Sinzing;9375199;2
Söchtenau;9187174;3
Solnhofen;9577168;1
Sommerach;9675169;1
Sommerhausen;9679187;2
Sommerkahl;9671153;2
Sonderhofen;9679188;2
Sondheim v.d.Rhön;9673167;1
Sonnefeld;9473166;1
Sonnen;9275148;1
Sontheim;9778196;1
Sonthofen;9780139;3
Soyen;9187176;3
Spalt;9576147;1
Spardorf;9572154;3
Sparneck;9475174;1
Spatzenhausen;9180133;4
Speichersdorf;9472190;1
Speinshart;9374157;1
Spiegelau;9272149;1
Stadelhofen;9471189;1
Stadlern;9376167;1
Stadtbergen;9772202;3
Stadtlauringen;9678181;1
Stadtprozelten;9676158;1
Stadtsteinach;9477156;1
Stallwang;9278189;1
Stammbach;9475175;1
Stammham;9171130;1
Stammham;9176161;1
Stamsried;9372161;1
Starnberg;9188139;7
Staudach-Egerndach;9189146;2
Stegaurach;9471191;1
Stein;9573127;4
Steinach;9278190;1
Steinbach a.Wald;9476175;1
Steinberg am See;9376168;1
Steindorf;9771168;2
Steinfeld;9677186;1
Steingaden;9190154;3
Steinhöring;9175137;6
Steinkirchen;9177138;4
Steinsfeld;9571205;1
Steinwiesen;9476177;1
Stephanskirchen;9187177;5
Stephansposching;9271151;1
Stetten;9778199;1
Stettfeld;9674201;1
Stiefenhofen;9776127;2
Stockheim;9476178;1
Stockheim;9673170;1
Stockstadt a.Main;9671155;2
Störnstein;9374158;1
Stötten a.Auerberg;9777171;1
Stöttwang;9777172;1
Strahlungen;9673171;1
Straßkirchen;9278192;1
Straßlach-Dingharting;9184144;7
Straubing ;9263000;2
Strullendorf;9471195;1
Stubenberg;9277147;1
Stulln;9376169;1
Sugenheim;9575165;1
Sulzbach a.Main;9676160;1
Sulzbach-Rosenberg;9371151;1
Sulzberg;9780140;2
Sulzdorf a.d.Lederhecke;9673172;1
Sulzemoos;9174146;5
Sulzfeld;9673173;1
Sulzfeld a.Main;9675170;1
Sulzheim;9678183;1
Sulzthal;9672155;1
Sünching;9375201;2
Surberg;9189148;2
Syrgenstein;9773170;1
Tacherting;9189149;2
Taching a.See;9189150;2
Tagmersheim;9779217;1
Tann;9277148;1
Tännesberg;9374159;1
Tapfheim;9779218;1
Tauberrettersheim;9679192;2
Taufkirchen;9183145;1
Taufkirchen;9184145;3
Taufkirchen ;9177139;3
Tegernheim;9375204;2
Tegernsee;9182132;4
Teisendorf;9172134;3
Teising;9171131;1
Teisnach;9276143;1
Tettau;9476179;1
Tettenweis;9275149;1
Teublitz;9376170;1
Teugn;9273175;1
Teunz;9376171;1
Teuschnitz;9476180;1
Thaining;9181142;3
Thalmassing;9375205;2
Thalmässing;9576148;1
Thannhausen;9774185;2
Thanstein;9376172;1
Theilenhofen;9577172;1
Theilheim;9679193;2
Theisseil;9374160;1
Theres;9674180;1
Thierhaupten;9772207;2
Thiersheim;9479158;1
Thierstein;9479159;1
Thundorf i.UFr.;9672157;1
Thüngen;9677189;1
Thüngersheim;9679194;2
Thurmansbang;9272150;1
Thurnau;9477157;1
Thyrnau;9275150;1
Tiefenbach;9274182;1
Tiefenbach;9275151;1
Tiefenbach;9372163;1
Tirschenreuth;9377154;1
Titting;9176164;1
Tittling;9275152;1
Tittmoning;9189152;2
Todtenweis;9771169;2
Töging a.Inn;9171132;1
Töpen;9475181;1
Trabitz;9374148;1
Train;9273177;1
Traitsching;9372164;1
Trappstadt;9673174;1
Traunreut;9189154;2
Traunstein;9189155;3
Trausnitz;9376173;1
Trautskirchen;9575166;1
Trebgast;9477158;1
Treffelstein;9372165;1
Treuchtlingen;9577173;1
Triefenstein;9677154;1
Triftern;9277149;1
Trogen;9475182;1
Tröstau;9479161;1
Trostberg;9189157;2
Trunkelsberg;9778202;1
Tschirn;9476182;1
Tuchenbach;9573129;3
Tuntenhausen;9187179;3
Türkenfeld;9179149;6
Türkheim;9778203;1
Tussenhausen;9778204;1
Tüßling;9171133;1
Tutzing;9188141;6
Tyrlaching;9171134;1
Übersee;9189159;2
Üchtelhausen;9678186;1
Uehlfeld;9575167;1
Uettingen;9679196;2
Uffenheim;9575168;1
Uffing a.Staffelsee;9180134;4
Ungerhausen;9778205;1
Unsleben;9673175;1
Unterammergau;9180135;4
Unterdießen;9181143;3
Unterdietfurt;9277151;1
Unteregg;9778207;1
Unterföhring;9184147;7
Untergriesbach;9275153;1
Unterhaching;9184148;7
Unterleinleiter;9474168;1
Untermeitingen;9772209;2
Untermerzbach;9674210;1
Unterneukirchen;9171135;1
Unterpleichfeld;9679201;2
Unterreit;9183147;1
Unterroth;9775161;2
Unterschleißheim;9184149;7
Unterschwaningen;9571208;1
Untersiemau;9473170;1
Untersteinach;9477159;1
Unterthingau;9777175;1
Unterwössen;9189160;2
Untrasried;9777176;1
Ursberg;9774116;2
Ursensollen;9371154;1
Urspringen;9677193;1
Ustersbach;9772211;2
Uttenreuth;9572158;3
Utting am Ammersee;9181144;3
Vachendorf;9189161;2
Valley;9182133;4
Vaterstetten;9175132;7
Veitsbronn;9573130;3
Veitshöchheim;9679202;2
Velburg;9373167;1
Velden;9274183;1
Velden;9574160;2
Vestenbergsgreuth;9572159;3
Viechtach;9276144;1
Viereth-Trunstadt;9471207;1
Vierkirchen;9174150;5
Vilgertshofen;9181133;3
Villenbach;9773179;1
Vilsbiburg;9274184;2
Vilseck;9371156;1
Vilsheim;9274185;1
Vilshofen an der Donau;9275154;1
Vogtareuth;9187181;3
Vohburg a.d.Donau;9186158;3
Vohenstrauß;9374162;1
Vöhringen;9775162;3
Volkach;9675174;1
Volkenschwand;9273178;1
Vorbach;9374163;1
Vorra;9574161;2
Waakirchen;9182134;4
Waal;9777177;1
Wachenroth;9572160;3
Wackersberg;9173145;4
Wackersdorf;9376175;1
Waffenbrunn;9372168;1
Waging a.See;9189162;2
Waidhaus;9374164;1
Waidhofen;9185166;1
Waigolshausen;9678190;1
Waischenfeld;9472197;1
Wald;9372169;1
Wald;9777179;1
Waldaschaff;9671156;2
Waldbrunn;9679204;2
Waldbüttelbrunn;9679205;2
Walderbach;9372170;1
Waldershof;9377157;1
Waldkirchen;9272151;1
Waldkraiburg;9183148;2
Waldmünchen;9372171;1
Waldsassen;9377158;1
Waldstetten;9774191;2
Waldthurn;9374165;1
Walkertshofen;9772214;2
Wallenfels;9476184;1
Wallerfing;9271152;1
Wallersdorf;9279137;1
Wallerstein;9779224;1
Wallgau;9180136;4
Walpertskirchen;9177142;4
Walsdorf;9471208;1
Waltenhausen;9774192;2
Waltenhofen;9780143;2
Walting;9176165;1
Wang;9178155;4
Warmensteinach;9472198;1
Warngau;9182136;4
Wartenberg;9177143;4
Wartmannsroth;9672161;1
Wasserburg ;9776128;2
Wasserburg a.Inn;9187182;4
Wasserlosen;9678192;1
Wassertrüdingen;9571214;1
Wattendorf;9471209;1
Wechingen;9779226;1
Wegscheid;9275156;1
Wehringen;9772215;2
Weibersbrunn;9671157;2
Weichering;9185168;1
Weichs;9174151;5
Weiden i.d.OPf. ;9363000;1
Weidenbach;9571216;1
Weidenberg;9472199;1
Weidhausen b.Coburg;9473174;1
Weiding;9372174;1
Weiding;9376176;1
Weigendorf;9371157;1
Weigenheim;9575179;1
Weihenzell;9571217;1
Weiherhammer;9374166;1
Weihmichl;9274187;1
Weil;9181145;3
Weilbach;9676165;1
Weilersbach;9474171;1
Weiler-Simmerberg;9776129;2
Weilheim i.OB;9190157;4
Weiltingen;9571218;1
Weisendorf;9572164;3
Weismain;9478176;1
Weißdorf;9475184;1
Weißenbrunn;9476185;1
Weißenburg i.Bay.;9577177;1
Weißenhorn;9775164;2
Weißenohe;9474173;1
Weißensberg;9776130;2
Weißenstadt;9479166;1
Weitnau;9780144;2
Weitramsdorf;9473175;1
Welden;9772216;2
Wellheim;9176166;1
Wemding;9779228;1
Wendelstein;9576151;4
Weng;9274188;1
Wenzenbach;9375208;2
Wernberg-Köblitz;9376150;1
Werneck;9678193;1
Wertach;9780145;2
Wertingen;9773182;1
Weßling;9188144;6
Wessobrunn;9190158;3
Westendorf;9772217;2
Westendorf;9777182;1
Westerheim;9778214;1
Westerngrund;9671159;2
Westheim;9577179;1
Wettringen;9571222;1
Wettstetten;9176167;1
Weyarn;9182137;4
Wiedergeltingen;9778216;1
Wielenbach;9190159;3
Wiesau;9377159;1
Wiesen;9671162;2
Wiesenbach;9774189;2
Wiesenbronn;9675177;1
Wiesenfelden;9278197;1
Wiesent;9375209;2
Wiesenthau;9474175;1
Wiesentheid;9675178;1
Wiesenttal;9474176;1
Wieseth;9571223;1
Wiesthal;9677200;1
Wiggensbach;9780146;2
Wilburgstetten;9571224;1
Wildenberg;9273181;1
Wildflecken;9672163;1
Wildpoldsried;9780147;2
Wildsteig;9190160;3
Wilhelmsdorf;9575181;1
Wilhelmsthal;9476189;1
Wilhermsdorf;9573133;3
Willanzheim;9675179;1
Willmars;9673182;1
Willmering;9372175;1
Windach;9181146;3
Windberg;9278198;1
Windelsbach;9571225;1
Windischeschenbach;9374168;1
Windorf;9275159;1
Windsbach;9571226;1
Winhöring;9171137;1
Winkelhaid;9574164;2
Winklarn;9376178;1
Winterbach;9774196;2
Winterhausen;9679206;2
Winterrieden;9778217;1
Winzer;9271153;1
Wipfeld;9678196;1
Wirsberg;9477163;1
Wittelshofen;9571227;1
Wittibreut;9277152;1
Wittislingen;9773183;1
Witzmannsberg;9275160;1
Wolfersdorf;9178156;4
Wolferstadt;9779231;1
Wolfertschwenden;9778218;1
Wolframs-Eschenbach;9571229;1
Wolfratshausen;9173147;6
Wolfsegg;9375211;2
Wollbach;9673183;1
Wolnzach;9186162;2
Wonfurt;9674219;1
Wonneberg;9189165;2
Wonsees;9477164;1
Woringen;9778219;1
Wörnitz;9571228;1
Wörth;9177144;4
Wörth a.d.Donau;9375210;2
Wörth a.d.Isar;9274191;1
Wörth a.Main;9676169;1
Wörthsee;9188145;6
Wülfershausen a.d.Saale;9673184;1
Wunsiedel;9479169;1
Wurmannsquick;9277153;1
Wurmsham;9274193;1
Würzburg ;9663000;4
Zachenberg;9276146;1
Zandt;9372177;1
Zangberg;9183151;1
Zapfendorf;9471214;1
Zeil a.Main;9674221;1
Zeilarn;9277154;1
Zeitlarn;9375213;2
Zeitlofs;9672166;1
Zell;9372167;1
Zell a.Main;9679209;2
Zell im Fichtelgebirge;9475189;1
Zellingen;9677203;1
Zenting;9272152;1
Ziemetshausen;9774198;2
Ziertheim;9773186;1
Zirndorf;9573134;2
Zolling;9178157;4
Zorneding;9175139;6
Zöschingen;9773187;1
Zusamaltheim;9773188;1
Zusmarshausen;9772223;2
Zwiesel;9276148;1
Berlin;11000000;4
Ahrensfelde;12060005;4
Alt Tucheband;12064009;3
Alt Zauche-Wußwerk;12061005;1
Altdöbern;12066008;2
Althüttendorf;12060012;1
Altlandsberg;12064029;2
Am Mellensee;12072002;1
Angermünde;12073008;2
Bad Belzig;12069020;2
Bad Freienwalde ;12064044;2
Bad Liebenwerda;12062024;1
Bad Saarow;12067024;1
Bad Wilsnack;12070008;2
Baruth/Mark;12072014;1
Beelitz;12069017;2
Beeskow;12067036;3
Beetzsee;12069018;2
Beetzseeheide;12069019;2
Beiersdorf-Freudenberg;12064053;2
Bensdorf;12069028;1
Berge;12070028;2
Berkenbrück;12067040;1
Berkholz-Meyenburg;12073032;2
Bernau bei Berlin;12060020;1
Bersteland;12061017;3
Bestensee;12061020;2
Biesenthal;12060024;2
Birkenwerder;12065036;2
Blankenfelde-Mahlow;12072017;2
Bleyen-Genschmar;12064057;4
Bliesdorf;12064061;1
Boitzenburger Land;12073069;1
Borkheide;12069052;1
Borkwalde;12069056;2
Brandenburg an der Havel;12051000;2
Breddin;12068052;2
Breese;12070052;1
Breydin;12060034;1
Brieselang;12063036;2
Briesen;12071028;5
Briesen ;12067072;1
Brieskow-Finkenheerd;12067076;2
Britz;12060036;2
Bronkow;12066041;2
Brück;12069076;1
Brüssow;12073085;2
Buckautal;12069089;1
Buckow ;12064084;2
Burg ;12071032;1
Byhleguhre-Byhlen;12061061;1
Calau;12066052;2
Carmzow-Wallmow;12073093;1
Casekow;12073097;1
Chorin;12060045;1
Cottbus;12052000;2
Crinitz;12062088;2
Cumlosen;12070060;1
Dabergotz;12068072;1
Dahme/Mark;12072053;1
Dahmetal;12072055;2
Dallgow-Döberitz;12063056;2
Diensdorf-Radlow;12067112;2
Dissen-Striesow;12071041;2
Doberlug-Kirchhain;12062092;1
Döbern;12071044;1
Drachhausen;12071052;1
Drahnsdorf;12061097;1
Drebkau;12071057;2
Dreetz;12068109;1
Drehnow;12071060;1
Eberswalde;12060052;1
Eichwalde;12061112;3
Eisenhüttenstadt;12067120;2
Elsterwerda;12062124;3
Erkner;12067124;1
Falkenberg;12064125;3
Falkenberg/Elster;12062128;1
Falkenhagen ;12064128;1
Falkensee;12063080;1
Fehrbellin;12068117;4
Felixsee;12071074;1
Fichtenhöhe;12064130;1
Fichtwald;12062134;1
Finsterwalde;12062140;1
Flieth-Stegelitz;12073157;2
Forst ;12071076;1
Frankfurt ;12053000;1
Frauendorf;12066064;2
Fredersdorf-Vogelsdorf;12064136;1
Friedland;12067137;4
Friedrichswalde;12060068;2
Friesack;12063088;2
Fürstenberg/Havel;12065084;2
Fürstenwalde/Spree;12067144;2
Gartz ;12073189;2
Garzau-Garzin;12064153;1
Gerdshagen;12070096;1
Gerswalde;12073201;1
Glienicke/Nordbahn;12065096;1
Gollenberg;12063094;5
Golßen;12061164;2
Golzow;12064172;2
Golzow;12069216;1
Gorden-Staupitz;12062177;2
Göritz;12073216;1
Görzke;12069224;1
Gosen-Neu Zittau;12067173;2
Gräben;12069232;2
Gramzow;12073225;2
Gransee;12065100;1
Gröden;12062196;2
Groß Köris;12061192;1
Groß Kreutz ;12069249;2
Groß Lindow;12067180;2
Groß Pankow ;12070125;2
Groß Schacksdorf-Simmersdorf;12071153;1
Großbeeren;12072120;1
Großderschau;12063112;2
Großkmehlen;12066104;2
Großräschen;12066112;1
Großthiemig;12062208;1
Großwoltersdorf;12065117;1
Grünewald;12066116;2
Grünheide ;12067201;1
Grünow;12073261;2
Grunow-Dammendorf;12067205;1
Guben;12071160;2
Guhrow;12071164;2
Gülitz-Reetz;12070145;1
Gumtow;12070149;1
Gusow-Platkow;12064190;1
Guteborn;12066120;1
Halbe;12061216;1
Halenbeck-Rohlsdorf;12070153;2
Havelaue;12063134;1
Havelsee;12069270;2
Heckelberg-Brunow;12064205;2
Heideblick;12061219;1
Heideland;12062219;2
Heidesee;12061217;1
Heiligengrabe;12068181;2
Heinersbrück;12071176;1
Hennigsdorf;12065136;1
Hermsdorf;12066124;3
Herzberg ;12062224;1
Herzberg ;12068188;1
Hirschfeld;12062232;1
Hohen Neuendorf;12065144;1
Hohenbocka;12066132;4
Hohenbucko;12062237;1
Hohenfinow;12060092;1
Höhenland;12064222;2
Hohenleipisch;12062240;1
Hohenselchow-Groß Pinnow;12073309;1
Hoppegarten;12064227;1
Ihlow;12072157;5
Jacobsdorf;12067237;2
Jamlitz;12061224;2
Jämlitz-Klein Düben;12071189;2
Jänschwalde;12071193;1
Joachimsthal;12060100;1
Jüterbog;12072169;2
Karstädt;12070173;1
Kasel-Golzig;12061244;1
Ketzin/Havel;12063148;2
Kleinmachnow;12069304;2
Kleßen-Görne;12063161;4
Kloster Lehnin;12069306;2
Kolkwitz;12071244;2
Königs Wusterhausen;12061260;1
Kotzen;12063165;3
Krausnick-Groß Wasserburg;12061265;2
Kremitzaue;12062282;2
Kremmen;12065165;1
Kroppen;12066168;2
Kümmernitztal;12070222;1
Küstriner Vorland;12064266;1
Kyritz;12068264;1
Langewahl;12067288;1
Lanz;12070236;2
Lauchhammer;12066176;1
Lawitz;12067292;2
Lebus;12064268;2
Lebusa;12062289;1
Leegebruch;12065180;1
Legde/Quitzöbel;12070241;2
Lenzen ;12070244;1
Lenzerwische;12070246;1
Letschin;12064274;1
Lichterfeld-Schacksdorf;12062293;1
Liebenwalde;12065193;1
Lieberose;12061308;2
Liepe;12060128;2
Lietzen;12064288;2
Lindenau;12066188;1
Lindendorf;12064290;1
Lindow ;12068280;1
Linthe;12069345;1
Löwenberger Land;12065198;2
Lübben ;12061316;2
Lübbenau/Spreewald;12066196;2
Luckaitztal;12066202;1
Luckau;12061320;1
Luckenwalde;12072232;2
Ludwigsfelde;12072240;2
Lunow-Stolzenhagen;12060149;3
Lychen;12073384;2
Marienfließ;12070266;1
Marienwerder;12060154;1
Mark Landin;12073386;2
Märkisch Buchholz;12061328;1
Märkisch Linden;12068306;2
Märkisch Luch;12063186;1
Märkische Heide;12061329;2
Märkische Höhe;12064303;2
Massen-Niederlausitz;12062333;1
Melchow;12060161;1
Merzdorf;12062336;2
Mescherin;12073393;1
Meyenburg;12070280;1
Michendorf;12069397;1
Milmersdorf;12073396;5
Milower Land;12063189;1
Mittenwalde;12061332;2
Mittenwalde;12073404;2
Mixdorf;12067324;1
Mühlberg/Elbe;12062341;2
Mühlenbecker Land;12065225;1
Mühlenberge;12063202;4
Mühlenfließ;12069402;2
Müllrose;12067336;2
Müncheberg;12064317;2
Münchehofe;12061344;1
Nauen;12063208;2
Neiße-Malxetal;12071294;3
Neißemünde;12067338;1
Nennhausen;12063212;2
Neu Zauche;12061352;2
Neuenhagen bei Berlin;12064336;2
Neuhardenberg;12064340;4
Neuhausen/Spree;12071301;1
Neulewin;12064349;1
Neupetershain;12066228;1
Neuruppin;12068320;1
Neu-Seeland;12066226;2
Neustadt ;12068324;1
Neutrebbin;12064365;1
Neuzelle;12067357;1
Niederer Fläming;12072298;2
Niederfinow;12060172;2
Niedergörsdorf;12072297;2
Niemegk;12069448;2
Nordwestuckermark;12073429;2
Nuthetal;12069454;1
Nuthe-Urstromtal;12072312;2
Oberbarnim;12064370;2
Oberkrämer;12065251;1
Oberuckersee;12073430;3
Oderaue;12064371;1
Oderberg;12060176;1
Oranienburg;12065256;2
Ortrand;12066240;3
Panketal;12060181;1
Parsteinsee;12060185;4
Passow;12073603;2
Paulinenaue;12063228;1
Päwesin;12069460;2
Peitz;12071304;2
Perleberg;12070296;1
Pessin;12063240;1
Petershagen/Eggersdorf;12064380;2
Pinnow;12073440;3
Pirow;12070300;1
Planebruch;12069470;1
Planetal;12069474;2
Plattenburg;12070302;2
Plessa;12062372;1
Podelzig;12064388;1
Potsdam;12054000;1
Premnitz;12063244;4
Prenzlau;12073452;2
Pritzwalk;12070316;2
Prötzel;12064393;1
Putlitz;12070325;1
Rabenstein/Fläming;12069485;1
Ragow-Merz;12067397;2
Randowtal;12073458;2
Rangsdorf;12072340;1
Rathenow;12063252;3
Rauen;12067408;2
Rehfelde;12064408;2
Reichenow-Möglin;12064417;1
Reichenwalde;12067413;1
Reitwein;12064420;2
Retzow;12063256;1
Rheinsberg;12068353;2
Rhinow;12063260;1
Rietz-Neuendorf;12067426;2
Rietzneuendorf-Staakow;12061405;2
Röderland;12062410;2
Rosenau;12069537;1
Roskow;12069541;2
Rückersdorf;12062417;2
Rüdersdorf bei Berlin;12064428;1
Rüdnitz;12060192;2
Ruhland;12066272;2
Rühstädt;12070348;1
Rüthnick;12068372;1
Sallgast;12062425;1
Schenkenberg;12073490;1
Schenkendöbern;12071337;1
Schilda;12062440;1
Schipkau;12066285;1
Schlaubetal;12067438;1
Schlepzig;12061428;2
Schlieben;12062445;2
Schmogrow-Fehrow;12071341;1
Schönborn;12062453;1
Schöneberg;12073505;1
Schönefeld;12061433;1
Schöneiche bei Berlin;12067440;3
Schönermark;12065276;3
Schönewalde;12062461;2
Schönfeld;12073520;1
Schönwald;12061435;1
Schönwalde-Glien;12063273;2
Schorfheide;12060198;2
Schraden;12062464;2
Schulzendorf;12061444;1
Schwarzbach;12066292;2
Schwarzheide;12066296;1
Schwedt/Oder;12073532;1
Schwerin;12061448;2
Schwielochsee;12061450;2
Schwielowsee;12069590;2
Seddiner See;12069596;4
Seeblick;12063274;2
Seelow;12064448;2
Senftenberg;12066304;1
Siehdichum;12067458;2
Sieversdorf-Hohenofen;12068409;2
Sonnenberg;12065301;1
Sonnewalde;12062469;2
Spreenhagen;12067469;1
Spreewaldheide;12061470;2
Spremberg;12071372;2
Stahnsdorf;12069604;2
Stechlin;12065310;4
Stechow-Ferchesar;12063293;2
Steinhöfel;12067473;2
Steinreich;12061471;2
Storbeck-Frankendorf;12068413;2
Storkow ;12067481;1
Straupitz;12061476;2
Strausberg;12064472;2
Stüdenitz-Schönermark;12068417;2
Sydower Fließ;12060250;1
Tantow;12073565;2
Tauche;12067493;1
Tauer;12071384;2
Teichland;12071386;1
Teltow;12069616;1
Temmen-Ringenwalde;12073569;4
Temnitzquell;12068425;1
Temnitztal;12068426;1
Templin;12073572;1
Tettau;12066316;2
Teupitz;12061492;1
Trebbin;12072426;2
Treplin;12064480;2
Treuenbrietzen;12069632;1
Triglitz;12070393;2
Tröbitz;12062492;1
Tschernitz;12071392;1
Turnow-Preilack;12071401;1
Uckerfelde;12073578;1
Uckerland;12073579;1
Uebigau-Wahrenbrück;12062500;1
Unterspreewald;12061510;1
Velten;12065332;2
Vetschau/Spreewald;12066320;2
Vielitzsee;12068437;1
Vierlinden;12064482;1
Vogelsang;12067508;1
Waldsieversdorf;12064484;2
Walsleben;12068452;1
Wandlitz;12060269;1
Weisen;12070416;3
Welzow;12071408;1
Wendisch Rietz;12067520;1
Wenzlow;12069648;2
Werben;12071412;2
Werder ;12069656;1
Werneuchen;12060280;3
Wiesenau;12067528;2
Wiesenaue;12063142;2
Wiesenburg/Mark;12069665;2
Wiesengrund;12071414;2
Wildau;12061540;1
Wittenberge;12070424;4
Wittstock/Dosse;12068468;1
Wollin;12069680;1
Woltersdorf;12067544;2
Wriezen;12064512;2
Wusterhausen/Dosse;12068477;1
Wustermark;12063357;1
Wusterwitz;12069688;2
Zechin;12064538;2
Zehdenick;12065356;1
Zernitz-Lohm;12068501;1
Zeschdorf;12064539;1
Zeuthen;12061572;1
Zichow;12073645;3
Ziesar;12069696;1
Ziethen;12060296;2
Ziltendorf;12067552;2
Zossen;12072477;2
Bremen;4011000;2
Bremerhaven;4012000;2
Hamburg;2000000;6
Aarbergen;6439001;2
Abtsteinach;6431001;2
Ahnatal;6633001;1
Alheim;6632001;1
Allendorf ;6635001;1
Allendorf ;6531001;2
Alsbach-Hähnlein;6432001;4
Alsfeld;6535001;1
Altenstadt;6440001;3
Amöneburg;6534001;1
Angelburg;6534002;1
Antrifttal;6535002;1
Aßlar;6532001;2
Babenhausen;6432002;3
Bad Arolsen;6635002;1
Bad Camberg;6533003;2
Bad Emstal;6633006;1
Bad Endbach;6534003;1
Bad Hersfeld;6632002;1
Bad Homburg v. d. Höhe;6434001;6
Bad Karlshafen;6633002;1
Bad König;6437001;2
Bad Nauheim;6440002;4
Bad Orb;6435001;2
Bad Salzschlirf;6631001;1
Bad Schwalbach;6439002;3
Bad Soden am Taunus;6436001;7
Bad Soden-Salmünster;6435002;1
Bad Sooden-Allendorf;6636001;1
Bad Vilbel;6440003;5
Bad Wildungen;6635003;1
Bad Zwesten;6634027;1
Battenberg ;6635004;1
Baunatal;6633003;2
Bebra;6632003;1
Bensheim;6431002;3
Berkatal;6636002;1
Beselich;6533001;1
Biblis;6431003;2
Bickenbach;6432003;4
Biebergemünd;6435003;2
Biebertal;6531002;2
Biebesheim am Rhein;6433001;3
Biedenkopf;6534004;1
Birkenau;6431004;2
Birstein;6435004;2
Bischoffen;6532002;1
Bischofsheim;6433002;4
Borken ;6634001;1
Brachttal;6435005;2
Braunfels;6532003;2
Brechen;6533002;1
Breidenbach;6534005;1
Breitenbach am Herzberg;6632004;1
Breitscheid;6532004;1
Brensbach;6437003;2
Breuberg;6437004;2
Breuna;6633004;1
Brombachtal;6437005;2
Bromskirchen;6635005;1
Bruchköbel;6435006;3
Büdingen;6440004;1
Burghaun;6631002;1
Burgwald;6635006;1
Bürstadt;6431005;2
Buseck;6531003;2
Büttelborn;6433003;4
Butzbach;6440005;2
Calden;6633005;1
Cölbe;6534006;1
Cornberg;6632005;1
Darmstadt;6411000;6
Dautphetal;6534007;1
Dieburg;6432004;4
Diemelsee;6635007;1
Diemelstadt;6635008;1
Dietzenbach;6438001;6
Dietzhölztal;6532005;1
Dillenburg;6532006;2
Dipperz;6631003;1
Dornburg;6533004;1
Dreieich;6438002;5
Driedorf;6532007;1
Ebersburg;6631004;1
Ebsdorfergrund;6534008;1
Echzell;6440006;1
Edermünde;6634002;1
Edertal;6635009;1
Egelsbach;6438003;6
Ehrenberg ;6631005;1
Ehringshausen;6532008;1
Eichenzell;6631006;1
Einhausen;6431006;2
Eiterfeld;6631007;1
Elbtal;6533005;1
Eltville am Rhein;6439003;5
Elz;6533006;1
Eppertshausen;6432005;4
Eppstein;6436002;5
Erbach;6437006;3
Erlensee;6435007;4
Erzhausen;6432006;4
Eschborn;6436003;6
Eschenburg;6532009;1
Eschwege;6636003;1
Espenau;6633007;1
Feldatal;6535003;1
Felsberg;6634003;1
Fernwald;6531004;2
Fischbachtal;6432007;4
Flieden;6631008;1
Flörsbachtal;6435008;2
Flörsheim am Main;6436004;5
Florstadt;6440007;1
Frankenau;6635010;1
Frankenberg ;6635011;1
Frankfurt am Main;6412000;6
Fränkisch-Crumbach;6437007;2
Freiensteinau;6535004;1
Freigericht;6435009;2
Friedberg ;6440008;4
Friedewald;6632006;1
Friedrichsdorf;6434002;5
Frielendorf;6634004;1
Fritzlar;6634005;1
Fronhausen;6534009;1
Fulda;6631009;2
Fuldabrück;6633008;1
Fuldatal;6633009;2
Fürth;6431007;1
Gedern;6440009;1
Geisenheim;6439004;4
Gelnhausen;6435010;3
Gemünden ;6535005;1
Gemünden ;6635012;1
Gernsheim;6433004;3
Gersfeld ;6631010;1
Gießen;6531005;4
Gilserberg;6634006;1
Ginsheim-Gustavsburg;6433005;4
Gladenbach;6534010;2
Glashütten;6434003;4
Glauburg;6440010;1
Gorxheimertal;6431008;2
Grasellenbach;6431009;2
Grävenwiesbach;6434004;4
Grebenau;6535006;1
Grebenhain;6535007;1
Grebenstein;6633010;1
Greifenstein;6532010;1
Griesheim;6432008;5
Großalmerode;6636004;1
Groß-Bieberau;6432009;4
Großenlüder;6631011;1
Groß-Gerau;6433006;5
Großkrotzenburg;6435011;2
Groß-Rohrheim;6431010;2
Groß-Umstadt;6432010;4
Groß-Zimmern;6432011;4
Grünberg;6531006;1
Gründau;6435012;2
Gudensberg;6634007;1
Guxhagen;6634008;1
Habichtswald;6633011;1
Hadamar;6533007;2
Haiger;6532011;1
Haina ;6635013;1
Hainburg;6438004;3
Hammersbach;6435013;2
Hanau;6435014;4
Hasselroth;6435015;2
Hattersheim am Main;6436005;6
Hatzfeld ;6635014;1
Hauneck;6632007;1
Haunetal;6632008;1
Heidenrod;6439005;2
Helsa;6633012;1
Heppenheim ;6431011;3
Herborn;6532012;2
Herbstein;6535008;1
Heringen ;6632009;1
Herleshausen;6636005;1
Hessisch Lichtenau;6636006;1
Heuchelheim;6531007;2
Heusenstamm;6438005;5
