Gemeinde;AGS;Mietenstufe
Efringen-Kirchen;8336014;3
Egenhausen;8235022;2
Egesheim;8327013;1
Eggenstein-Leopoldshafen;8215102;4
Eggingen;8337124;2
Ehingen;8425033;3
Ehningen;8115013;4
Ehrenkirchen;8315131;3
Eichstegen;8436027;2
Eichstetten am Kaiserstuhl;8315030;3
Eigeltingen;8335021;2
Eimeldingen;8336019;3
Eisenbach;8315031;3
Eisingen;8236011;2
Eislingen/Fils;8117019;3
Elchesheim-Illingen;8216012;2
Ellenberg;8136018;2
Ellhofen;8125024;2
Ellwangen ;8136019;3
Elzach;8316010;2
Elztal;8225117;1
Emeringen;8425035;2
Emerkingen;8425036;2
Emmendingen;8316011;4
Emmingen-Liptingen;8327057;1
Empfingen;8237024;1
Endingen am Kaiserstuhl;8316012;2
Engelsbrand;8236013;2
Engen;8335022;2
Engstingen;8415089;2
Eningen u. A.;8415019;3
Enzklösterle;8235025;2
Epfenbach;8226017;2
Epfendorf;8325015;1
Eppelheim;8226018;5
Eppingen;8125026;2
Erbach;8425039;3
Erdmannhausen;8118014;4
Eriskirch;8435013;4
Erkenbrechtsweiler;8116018;3
Erlenbach;8125027;2
Erlenmoos;8426043;1
Erligheim;8118015;4
Erolzheim;8426044;1
Ertingen;8426045;1
Eschach;8136020;2
Eschbach;8315033;3
Eschbronn;8325071;1
Eschelbronn;8226020;2
Eschenbach;8117020;2
Essingen;8136021;2
Esslingen am Neckar;8116019;5
Ettenheim;8317026;2
Ettlingen;8215017;4
Eutingen im Gäu;8237027;1
Fahrenbach;8225024;1
Feldberg;8315037;3
Fellbach;8119020;5
Fichtenau;8127102;1
Fichtenberg;8127023;1
Filderstadt;8116077;5
Fischerbach;8317029;1
Fischingen;8336024;3
Flein;8125030;2
Fleischwangen;8436032;2
Fluorn-Winzeln;8325070;1
Forbach;8216013;2
Forchheim;8316013;2
Forchtenberg;8126028;1
Forst;8215021;2
Frankenhardt;8127103;1
Freiamt;8316054;2
Freiberg am Neckar;8118078;5
Freiburg im Breisgau;8311000;6
Freudenberg;8128039;1
Freudenstadt;8237028;3
Freudental;8118016;4
Frickenhausen;8116020;3
Frickingen;8435015;4
Fridingen an der Donau;8327016;1
Friedenweiler;8315039;3
Friedrichshafen;8435016;5
Friesenheim;8317031;2
Friolzheim;8236019;2
Frittlingen;8327017;1
Fröhnd;8336025;3
Fronreute;8436096;2
Furtwangen im Schwarzwald;8326017;2
Gaggenau;8216015;3
Gaiberg;8226022;2
Gaienhofen;8335025;2
Gaildorf;8127025;2
Gailingen am Hochrhein;8335026;2
Gammelshausen;8117023;2
Gammertingen;8437031;1
Gärtringen;8115015;5
Gäufelden;8115016;4
Gechingen;8235029;2
Geisingen;8327018;1
Geislingen an der Steige;8117024;2
Geislingen;8417022;1
Gemmingen;8125034;2
Gemmrigheim;8118018;4
Gengenbach;8317034;2
Gerabronn;8127032;1
Gerlingen;8118019;6
Gernsbach;8216017;3
Gerstetten;8135015;2
Giengen an der Brenz;8135016;2
Gingen an der Fils;8117025;2
Glatten;8237030;1
Glottertal;8315041;3
Göggingen;8136024;2
Gomadingen;8415027;2
Gomaringen;8416015;4
Gondelsheim;8215025;2
Göppingen;8117026;3
Görwihl;8337038;2
Gosheim;8327019;1
Gottenheim;8315043;3
Gottmadingen;8335028;3
Graben-Neudorf;8215099;3
Grabenstetten;8415028;2
Grafenau;8115054;4
Grafenberg;8415029;2
Grafenhausen;8337039;2
Grenzach-Wyhlen;8336105;5
Griesingen;8425050;2
Grömbach;8237032;1
Großbettlingen;8116022;3
Großbottwar;8118021;4
Grosselfingen;8417023;1
Großerlach;8119024;2
Großrinderfeld;8128045;1
Gruibingen;8117028;2
Grundsheim;8425052;2
Grünkraut;8436039;2
Grünsfeld;8128047;1
Gschwend;8136027;2
Guggenhausen;8436040;2
Güglingen;8125038;2
Gundelfingen;8315047;6
Gundelsheim;8125039;2
Gunningen;8327020;1
Gutach;8317039;1
Gutach im Breisgau;8316014;2
Gütenbach;8326020;2
Gutenzell-Hürbel;8426135;1
Häg-Ehrsberg;8336106;3
Hagnau am Bodensee;8435018;4
Haigerloch;8417025;1
Haiterbach;8235032;2
Hambrücken;8215029;2
Hardheim;8225032;1
Hardt;8325024;1
Hardthausen am Kocher;8125111;2
Hartheim;8315048;3
Hasel;8336034;3
Haslach im Kinzigtal;8317040;1
Haßmersheim;8225033;1
Hattenhofen;8117029;2
Hausach;8317041;1
Hausen am Bussen;8425055;2
Hausen am Tann;8417029;1
Hausen im Wiesental;8336036;3
Hausen ob Verena;8327023;1
Häusern;8337045;2
Hayingen;8415034;2
Hechingen;8417031;3
Heddesbach;8226027;2
Heddesheim;8226028;3
Heidelberg;8221000;5
Heidenheim an der Brenz;8135019;3
Heilbronn;8121000;4
Heiligenberg;8435020;4
Heiligkreuzsteinach;8226029;2
Heimsheim;8236025;2
Heiningen;8117030;2
Heitersheim;8315050;3
Helmstadt-Bargen;8226106;2
Hemmingen;8118027;4
Hemsbach;8226031;4
Herbertingen;8437044;1
Herbolzheim;8316017;2
Herbrechtingen;8135020;1
Herdwangen-Schönach;8437124;1
Hermaringen;8135021;1
Heroldstatt;8425139;2
Herrenberg;8115021;5
Herrischried;8337049;2
Hessigheim;8118028;4
Hettingen;8437047;1
Heubach;8136028;2
Heuchlingen;8136029;2
Heuweiler;8315051;3
Hildrizhausen;8115022;4
Hilzingen;8335035;2
Hinterzarten;8315052;3
Hirrlingen;8416018;4
Hirschberg an der Bergstraße;8226107;2
Hochdorf;8116027;3
Hochdorf;8426058;1
Höchenschwand;8337051;2
Hockenheim;8226032;4
Höfen an der Enz;8235035;2
Hofstetten;8317046;1
Hohberg;8317047;1
Hohenfels;8335096;2
Hohenstadt;8117031;2
Hohenstein;8415090;2
Hohentengen;8437053;1
Hohentengen am Hochrhein;8337053;2
Holzgerlingen;8115024;6
Holzkirch;8425062;2
Holzmaden;8116029;3
Höpfingen;8225039;1
Horb am Neckar;8237040;2
Horben;8315056;3
Horgenzell;8436095;2
Hornberg;8317051;1
Hoßkirch;8436047;2
Hüffenhardt;8225042;1
Hüfingen;8326027;2
Hügelsheim;8216022;2
Hülben;8415039;2
Hüttisheim;8425064;2
Hüttlingen;8136033;2
Ibach;8337059;2
