Land;Kennwert;AGSPrefix
Schleswig-Holstein;1500;1
Hamburg;600;2
Niedersachsen;900;3
Bremen;500;4
Nordrhein-Westfalen;1000;5
Hessen;700;6
Rheinland-Pfalz;1100;7
Baden-Württemberg;100;8
Bayern;200;9
Saarland;1200;10
Berlin;300;11
Brandenburg;400;12
Mecklenburg-Vorpommern;800;13
Sachsen;1300;14
Sachsen-Anhalt;1400;15
Thüringen;1600;16
